,name,place_id,formatted_address,types,user_ratings_total,rating,lat,long,latlong
10,Polisi / Police station,ChIJAcBMn-1E0i0R4Xw9S_KRSzQ,"no 80361, Jl. Wanagiri No.6, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","police,point_of_interest,establishment",3,3.7,-8.7865468,115.1619028,"-8.7865468,115.1619028"
11,North Kuta Police Station,ChIJO0o9z4s40i0Ru6SuoPO8Jmc,"Jl. Pantai Batu Bolong No.30A, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351, Indonesia","police,point_of_interest,establishment",25,4.2,-8.6388526,115.1450393,"-8.6388526,115.1450393"
12,Polres Gianyar,ChIJw7oGY2cW0i0RH5z327CkEqM,"Jl. Ngurah Rai-Gianyar, Gianyar, Kec. Gianyar, Kabupaten Gianyar, Bali 80511, Indonesia","police,point_of_interest,establishment",60,3.9,-8.5413516,115.3237465,"-8.5413516,115.3237465"
13,Kepolisian,ChIJ-YdWWak40i0RVzgXtSCpt_k,"Jl. Gunung Sanghyang No.110, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80117, Indonesia","police,point_of_interest,establishment",7,3.6,-8.6484588,115.1829068,"-8.6484588,115.1829068"
14,I Gusti Ngurah Rai Airport Police Station,ChIJpwIc8w9E0i0Rxpa2QmO8SoE,"7547+QM9, Jl. Bandar Udara Ngurah Rai, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80362, Indonesia","police,point_of_interest,establishment",11,3.2,-8.7430962,115.1642339,"-8.7430962,115.1642339"
15,Polsek Gianyar,ChIJ65FUlYoW0i0RnoCgCVMj0Ag,"Jl. Ratna I, Gianyar, Kec. Gianyar, Kabupaten Gianyar, Bali 80512, Indonesia","police,point_of_interest,establishment",5,4.0,-8.542383,115.3330487,"-8.542383,115.3330487"
16,Polres Tabanan,ChIJzVKy1VY60i0RjrWTIDnM-0Y,"Jl. Pahlawan No.12, Delod Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82113, Indonesia","police,point_of_interest,establishment",58,4.4,-8.5393245,115.1329649,"-8.5393245,115.1329649"
17,Kepolisian Negara,ChIJZZhB-IJB0i0RndY_yqW3ATI,"Jl. Tukad Punggawa No.238a, Serangan, Denpasar Selatan, Kota Denpasar, Bali 80229, Indonesia","police,point_of_interest,establishment",0,0.0,-8.721784,115.2385884,"-8.721784,115.2385884"
18,Pos Polisi Diponegoro,ChIJyWON5OZA0i0RQV2aGahDMxI,"Jl. Diponegoro No.10, Dauh Puri, Kec. Denpasar Bar., Kota Denpasar, Bali 80232, Indonesia","police,point_of_interest,establishment",13,3.6,-8.6647123,115.2152763,"-8.6647123,115.2152763"
19,Polsubsektor Diponegoro Denpasar,ChIJy63GU0tB0i0RCKTeSGgxf1I,"Jl. Diponegoro No.110, Dauh Puri, Kec. Denpasar Bar., Kota Denpasar, Bali 80232, Indonesia","police,point_of_interest,local_government_office,establishment",1,5.0,-8.665125,115.2154012,"-8.665125,115.2154012"
20,Lio Square Police Station,ChIJ05QCnGpH0i0RHd_lkDsLkhY,"Jl. Raya Kerobokan No.6, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","police,point_of_interest,establishment",7,2.0,-8.6725358,115.164912,"-8.6725358,115.164912"
21,Pos Polisi Dewa Ruci,ChIJfTZNJrJG0i0RTZ0HWuRRV3I,"Jl. Bypass Ngurah Rai No.10, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","police,point_of_interest,establishment",4,2.5,-8.7215089,115.1835058,"-8.7215089,115.1835058"
22,Polres Jembrana,ChIJw7pfhwNi0S0R-7FlI4wkEkg,"Jl. Pahlawan No.27, Pendem, Kec. Negara, Kabupaten Jembrana, Bali 82211, Indonesia","police,health,point_of_interest,establishment",90,4.5,-8.3593464,114.6249228,"-8.3593464,114.6249228"
23,POS Polisi Wira Satya Polres Buleleng,ChIJI6PL-jKJ0S0RllUTWIfHFoQ,"P5W4+X7M, Jalan Raya Singaraja, Bedugul, Pancasari, Sukasada, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161, Indonesia","police,point_of_interest,establishment",0,0.0,-8.2524877,115.1556594,"-8.2524877,115.1556594"
24,Sat Lantas Polres Badung,ChIJbVmsMO870i0RNb_jEKLWqFI,"C5QC+QQV, Jl. Raya Mengwi, Mengwitani, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia","police,point_of_interest,establishment",30,4.1,-8.5605009,115.1719154,"-8.5605009,115.1719154"
25,Pos Polisi,ChIJ70NbCMRA0i0R-nRNZ5OPT6Q,"Simpang Enam, Dauh Puri Kauh, Denpasar Barat, Denpasar City, Bali 80113, Indonesia","police,point_of_interest,establishment",0,0.0,-8.6767457,115.2065717,"-8.6767457,115.2065717"
26,Pwri Provinsi Bali,ChIJlXpoE4NA0i0RRQpRaI0JKe8,"86XG+2JX, Jl. Hayam Wuruk, Dangin Puri Kangin, Kec. Denpasar Utara, Kota Denpasar, Bali 80236, Indonesia","police,point_of_interest,establishment",0,0.0,-8.6523979,115.2265973,"-8.6523979,115.2265973"
27,Polsek Mengwi,ChIJr4A53J070i0Re1ODVBlPHwo,"Jl. I Gusti Ngurah Rai No.110, Werdi Bhuwana, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia","police,point_of_interest,establishment",4,4.8,-8.533339699999999,115.1714161,"-8.5333397,115.1714161"
28,Polres Buleleng,ChIJCdi6yAua0S0RKPw3ieyKBgM,"Jl. Pramuka No.1, Banjar Jawa, Kec. Buleleng, Kabupaten Buleleng, Bali 81118, Indonesia","police,point_of_interest,establishment",34,4.3,-8.1123651,115.090628,"-8.1123651,115.090628"
29,Pos Polisi,ChIJdRM09bxG0i0Ri0-_J1nGB3Y,"75H9+8VJ, Jl. Pantai Kuta, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","police,point_of_interest,establishment",6,1.7,-8.721658999999999,115.1696295,"-8.721659,115.1696295"
30,Kantor Kepolisian Sektor Marga,ChIJ5zcOEr4k0i0RJM-raCXTmpY,"G5H9+6XJ, Jl. Raya Marga Tabanan, Marga, Tabanan Regency, Bali 82181, Indonesia","police,point_of_interest,establishment",2,5.0,-8.471902199999999,115.1699051,"-8.4719022,115.1699051"
31,Polsek Payangan,ChIJFzpVNU4i0i0R3qjXz2Qs3Fk,"H68W+43Q, Jl. Raya Payangan Giayar, Melinggih, Payangan, Gianyar Regency, Bali 80572, Indonesia","police,point_of_interest,establishment",6,4.3,-8.434627299999999,115.2452347,"-8.4346273,115.2452347"
32,Polres Bangli,ChIJaQKD3-kZ0i0RmfCya0BtnUM,"Jl. Lettu Lila No.2, Kawan, Kec. Bangli, Kabupaten Bangli, Bali 80613, Indonesia","police,point_of_interest,establishment",27,3.7,-8.4627777,115.3545791,"-8.4627777,115.3545791"
33,Polsek Blahbatuh,ChIJc1Il12UW0i0RYuynlEeJad8,"Jl. Udayana No.37, Blahbatuh, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581, Indonesia","police,point_of_interest,establishment",4,4.8,-8.5611719,115.3004038,"-8.5611719,115.3004038"
34,Police Pos Pantau,ChIJHRPqvdBG0i0Rjypgx3ItmKs,"852H+76F, Legian, Kuta, Badung Regency, Bali 80361, Indonesia","police,point_of_interest,establishment",1,5.0,-8.6993218,115.1780348,"-8.6993218,115.1780348"
35,Police Traffic Control,ChIJB7Fx59RG0i0RQWNv2e8MQiU,"Jl. Imam Bonjol No.507, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia","police,point_of_interest,establishment",2,3.0,-8.695433699999999,115.1873345,"-8.6954337,115.1873345"
36,Kantor Polisi Sektor Kerambitan,ChIJZ-Sw4I8w0i0RTwOC6WyMhV8,"F32J+V82, Kerambitan, Tabanan, Tabanan Regency, Bali 82161, Indonesia","police,point_of_interest,establishment",0,0.0,-8.5478695,115.0807723,"-8.5478695,115.0807723"
37,Pos Patroli Keamanan Desa,ChIJq_040IRA0i0RMwZPv8YKAdA,"Jl. Rijasa No.1, Sumerta Kauh, Kec. Denpasar Tim., Kota Denpasar, Bali 80236, Indonesia","police,point_of_interest,establishment",1,3.0,-8.6562551,115.2252275,"-8.6562551,115.2252275"
38,Kantor Polsek Petang,ChIJjdPXCmwh0i0RGzc--iQIr2c,"J659+HF4, Jl. Raya Pura Pucak Mangu, Petang, Kec. Petang, Kabupaten Badung, Bali 80353, Indonesia","police,point_of_interest,establishment",0,0.0,-8.3911185,115.218693,"-8.3911185,115.218693"
39,Singaraja Police School,ChIJSdMjsROa0S0RWqjm7A6HcxM,"V3QH+9F4, Jl. Lingga, Banyuasri, Kec. Buleleng, Kabupaten Buleleng, Bali 81116, Indonesia","police,point_of_interest,establishment",27,4.6,-8.1116073,115.0786878,"-8.1116073,115.0786878"
40,KP3 Padang Bai ( Kantor Polisi ),ChIJzxZrwWgO0i0RnTYhh--0Iok,"FG84+WVC, Padangbai, Manggis, Padangbai, Karangasem, Kabupaten Karangasem, Bali 80871, Indonesia","police,point_of_interest,establishment",1,5.0,-8.5326954,115.5071318,"-8.5326954,115.5071318"
41,Polsek Selat,ChIJB4dNwCwF0i0RxyH1eXm0w-M,"HF7F+8R8, Jl. Raya Selat Karang Asem, Selat, Karangasem Regency, Bali 80862, Indonesia","police,point_of_interest,establishment",8,3.8,-8.4367234,115.4745842,"-8.4367234,115.4745842"
42,Polsek Klungkung,ChIJ-1QRPRUR0i0RMxSsvtuOWeM,"Jl. Gn. Batukaru No.3, Semarapura Kelod Kangin, Kec. Klungkung, Kabupaten Klungkung, Bali 80761, Indonesia","police,point_of_interest,establishment",7,4.6,-8.5343391,115.404234,"-8.5343391,115.404234"
43,Polsek Kota Karangasem,ChIJ__ylVjAG0i0RmiBHNyqxb2I,"Jl. Untung Surapati No.1, Subagan, Kec. Karangasem, Kabupaten Karangasem, Bali 80811, Indonesia","police,point_of_interest,establishment",8,4.0,-8.4490129,115.6062505,"-8.4490129,115.6062505"
44,Kantor Polisi,ChIJh4H_cv0_0i0R-hxaINZzNAA,"Jl. Raya Gumicik No.2, Ketewel, Kec. Sukawati, Kabupaten Gianyar, Bali, Indonesia","local_government_office,point_of_interest,establishment",0,0.0,-8.636675,115.2826024,"-8.636675,115.2826024"
45,Polsek Tejakula,ChIJB4nKx7jt0S0RLGTdMlYeMFQ,"V993+C99, Tejakula, Buleleng Regency, Bali 81173, Indonesia","police,point_of_interest,establishment",3,3.7,-8.131464099999999,115.3534781,"-8.1314641,115.3534781"
46,Polsek Sidemen,ChIJuSBVW5ga0i0RyTc0o_T-PO8,"Jl. Sidemen, Sidemen, Kec. Sidemen, Kabupaten Karangasem, Bali 80864, Indonesia","police,point_of_interest,establishment",7,3.4,-8.463997599999999,115.4477992,"-8.4639976,115.4477992"
47,Polsek Pupuan - ᬧᭀᬮ᭄ᬲᬾᬓ᭄ ᬧᬸᬧ᭄ᬯᬦ᭄᭟,ChIJYQnWsTaH0S0ROPgGq8wMJWU,"No., Jl. Raya Pupuan No.54, Pupuan, Kec. Pupuan, Kabupaten Tabanan, Bali 82163, Indonesia","police,point_of_interest,establishment",2,3.0,-8.3166262,115.0055803,"-8.3166262,115.0055803"
48,POLISI,ChIJ57WWw7ZG0i0RFKLQrpMriZA,"Ruko Harris 10, Jl. Raya Kuta No.62, Kuta, Badung Regency, Bali 80361, Indonesia","police,point_of_interest,establishment",0,0.0,-8.7175304,115.1807652,"-8.7175304,115.1807652"
49,Kantor Polisi,ChIJ98Ms8Jdw0S0RIjWxFiYwD9o,"RQ8M+FR5, Gerokgak, Buleleng Regency, Bali 81155, Indonesia","point_of_interest,establishment",1,5.0,-8.1838747,114.7846028,"-8.1838747,114.7846028"
50,Polsek Negara,ChIJzU5Sawxi0S0RxXx7iRSgKgc,"Jl. Sudirman, Baler Bale Agung, Kec. Negara, Kabupaten Jembrana, Bali 82212, Indonesia","police,point_of_interest,establishment",6,3.8,-8.3539691,114.6090462,"-8.3539691,114.6090462"
51,Polsek Selemadeg Barat,ChIJR1rGPp4t0i0R0Aoa8h2SXCE,"Jl. Raya Denpasar - Gilimanuk No.401, Lalanglinggah, Kec. Selemadeg Bar., Kabupaten Tabanan, Bali 82162, Indonesia","police,point_of_interest,establishment",1,5.0,-8.4896113,114.9527596,"-8.4896113,114.9527596"
52,Polsek Kota Singaraja,ChIJKVbCUKiQ0S0R40CwPTurnvA,"Jl. Surapati No.123, Kp. Baru, Kec. Buleleng, Kabupaten Buleleng, Bali 81114, Indonesia","police,point_of_interest,establishment",12,3.8,-8.1017754,115.0965521,"-8.1017754,115.0965521"
53,Dit Pol Air Polda Bali,ChIJUzAnD-dD0i0RQAgMKqhEf7g,"7666+H6P, Jl. Dermaga Pelabuhan Benoa, Pedungan, Denpasar Selatan, Kota Denpasar, Bali, Indonesia","point_of_interest,establishment",2,4.5,-8.738549299999999,115.2105761,"-8.7385493,115.2105761"
54,Polsek Seririt,ChIJXz0pGHKa0S0RDdZbt7eR9BQ,"Jl. Sudirman No.90, Seririt, Buleleng, Kabupaten Buleleng, Bali 81112, Indonesia","police,point_of_interest,establishment",8,4.8,-8.1927257,114.9399691,"-8.1927257,114.9399691"
55,Satuan Brimob Polda Bali,ChIJN12CEZM_0i0Rvw9LcJtUUrw,"Jl. WR Supratman No.1, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia","police,point_of_interest,establishment",5,4.6,-8.6339952,115.2573925,"-8.6339952,115.2573925"
56,Polsek Rendang,ChIJxU8NJJ8b0i0RC2OSyGRNDz0,"HCQC+992, Jl. Raya Rendang Karang Asem, Menanga, Rendang, Karangasem Regency, Bali 80863, Indonesia","police,point_of_interest,establishment",4,4.8,-8.4116214,115.4208823,"-8.4116214,115.4208823"
57,KTH 02 Polsek Bangli,ChIJPX1V6JUZ0i0Rn_mY1lJnCME,"G9W4+7F7, Jalan Merdeka, Depan Bank BNI, Kawan, Kecamatan Bangli, Kawan, Kec. Bangli, Kabupaten Bangli, Bali 80613, Indonesia","police,point_of_interest,establishment",0,0.0,-8.4543372,115.3561893,"-8.4543372,115.3561893"
58,Polsek Abang,ChIJ-2GVe80G0i0R8RRsuV0pMdQ,"JJ83+P77, Abang, Karangasem Regency, Bali 80852, Indonesia","police,point_of_interest,establishment",5,4.8,-8.3832249,115.6031703,"-8.3832249,115.6031703"
59,Pos Polisi Simpang Lima,ChIJCzSCIz8R0i0RpMKaO1pIygM,"Jl. Ngurah Rai No.14, Semarapura Tengah, Kec. Klungkung, Kabupaten Klungkung, Bali 80711, Indonesia","police,point_of_interest,establishment",0,0.0,-8.5329158,115.3973582,"-8.5329158,115.3973582"
100,Polsek Bandung Wetan,ChIJDQZIs8rnaC4R4tDw-8J5KV4,"Jl. Cihapit No.7A, Cihapit, Kec. Bandung Wetan, Kota Bandung, Jawa Barat 40114, Indonesia","police,point_of_interest,establishment",28,3.5,-6.9080382,107.6217075,"-6.9080382,107.6217075"
101,Polrestabes Bandung,ChIJ169OljDmaC4RoGRX-8rh5gs,"Jl. Merdeka No.18-21, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40117, Indonesia","police,point_of_interest,establishment",392,3.7,-6.9140513,107.6107574,"-6.9140513,107.6107574"
102,Polsek Bandung Kulon,ChIJP6DIsQDmaC4RySfmK8eaRNY,"Jl. Syahbandar No.7, Caringin, Kec. Bandung Kulon, Kota Bandung, Jawa Barat 40211, Indonesia","police,point_of_interest,establishment",23,4.3,-6.9252743,107.5740913,"-6.9252743,107.5740913"
103,Polsek Sumur Bandung,ChIJTXe8mTvmaC4Rn2wNNLwwHRY,"Jl. Kebon Sirih No.39, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111, Indonesia","police,point_of_interest,establishment",12,3.7,-6.9106605,107.6056323,"-6.9106605,107.6056323"
104,Polresta Bandung Tengah,ChIJSWt0ls_naC4Rpwz7qSJlcuY,"Jalan Jendral Ahmad Yani No.296, Kacapiring, Batununggal, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat 40271, Indonesia","police,point_of_interest,establishment",20,3.0,-6.9154356,107.6314572,"-6.9154356,107.6314572"
105,Polsek REGOL,ChIJU6E1YJDoaC4RphY4GEbpPpY,"Jl. Moch. Toha No.81, Cigereleng, Kec. Regol, Kota Bandung, Jawa Barat 40253, Indonesia","police,point_of_interest,establishment",253,4.3,-6.939837499999999,107.6069933,"-6.9398375,107.6069933"
106,Polsekta Kiaracondong,ChIJM1RiOt7naC4R_5Y2z5HGWuA,"Jalan Jendral Ibrahim Adjie No.169, Kiaracondong, Kebonwaru, Kec. Batununggal, Kota Bandung, Jawa Barat 40272, Indonesia","police,point_of_interest,establishment",0,0.0,-6.926557,107.6447507,"-6.926557,107.6447507"
107,Police Buahbatu Polrestabes Bandung,ChIJ8Ro3dCnoaC4RCMGFcBhLo2Y,"Jl. Ciwastra No.289, Margasari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","police,point_of_interest,establishment",31,4.1,-6.9608313,107.6659226,"-6.9608313,107.6659226"
108,Polsek Sukajadi,ChIJ9fCgJGDmaC4RPZRuvYRyLoA,"Jl. Sukajadi No.141, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat 40162, Indonesia","police,point_of_interest,establishment",33,3.5,-6.8883214,107.5965642,"-6.8883214,107.5965642"
109,Gandok Police Station,ChIJFfLdlu7maC4Rg9bX9rl6f60,"Jl. Ciumbuleuit No.29, Hegarmanah, Kec. Cidadap, Kota Bandung, Jawa Barat 40141, Indonesia","police,point_of_interest,establishment",14,4.2,-6.8833459,107.6046992,"-6.8833459,107.6046992"
110,Polisi Sektor Coblong,ChIJ4_id6fnmaC4RUrvlIgXOPH8,"Jl. Sangkuriang, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135, Indonesia","police,point_of_interest,establishment",154,3.6,-6.8831,107.610962,"-6.8831,107.610962"
111,Police Cibeunying Kidul,ChIJx0hR6qXnaC4Rckd_o8I68eM,"Jl. A. Yani No.879, Padasuka, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40125, Indonesia","police,point_of_interest,establishment",17,3.4,-6.9031557,107.6534011,"-6.9031557,107.6534011"
112,Polsek Panyileukan,ChIJ____v97CaC4R4dKVeLM-Zss,"3P79+WXJ, Jl. A.H. Nasution, Cipadung Kidul, Kec. Panyileukan, Kota Bandung, Jawa Barat 40615, Indonesia","police,point_of_interest,establishment",28,3.2,-6.935153199999999,107.7198811,"-6.9351532,107.7198811"
113,Pos Polisi Braga,ChIJW74VuzrmaC4Rze1hvTt9Hh4,"40111 Bandung Indonesia, Braga City Walk, Jl. Braga No.99-101, Braga, Sumurbandung, Bandung City, West Java 40111, Indonesia","police,point_of_interest,establishment",2,4.0,-6.916773999999999,107.6078181,"-6.916774,107.6078181"
114,Pos Polisi Subsektor Kebon Kalapa,ChIJeUQPbifmaC4RvWtxeWuU4vY,"3JC4+JHP, Jl. Pungkur, Pungkur, Kec. Regol, Kota Bandung, Jawa Barat 40251, Indonesia","police,point_of_interest,establishment",2,3.5,-6.928419799999999,107.6064569,"-6.9284198,107.6064569"
115,Polsek UJUNGBERUNG,ChIJdU6IzCsbEQURyxkUy37nTfY,"Jl. A.H. Nasution No.21, Pasanggrahan, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40617, Indonesia","police,point_of_interest,establishment",38,4.5,-6.916570699999999,107.7057017,"-6.9165707,107.7057017"
116,Polsek Batununggal,ChIJ7ypro8_naC4RV9IgNF6hRYI,"Jl. A. Yani No.296, Kacapiring, Kec. Batununggal, Kota Bandung, Jawa Barat 40271, Indonesia","police,point_of_interest,establishment",17,4.0,-6.915191399999999,107.6314735,"-6.9151914,107.6314735"
117,Polsekta Margacinta,ChIJV5qHlinoaC4R7kzKGOD0Syg,"Jl. Margacinta 8, Cipagalo, Bandung Timur, Kabupaten Bandung, Jawa Barat 40287, Indonesia","police,point_of_interest,establishment",0,0.0,-6.972541,107.662967,"-6.972541,107.662967"
118,Polsek Arcamanik,ChIJSSrMqPnoaC4Rt27Ph8z3LuQ,"Jl. Cisaranten Kulon No.168, Cisaranten Kulon, Kec. Arcamanik, Kota Bandung, Jawa Barat 40293, Indonesia","police,point_of_interest,establishment",40,4.0,-6.9202564,107.6842554,"-6.9202564,107.6842554"
119,Polsek Bojongloa Kidul,ChIJvfcK7qLoaC4RyeuC4J-Zj_I,"Jl. Peta No.104, Situsaeur, Kec. Bojongloa Kidul, Bandung Barat, Jawa Barat 40234, Indonesia","police,point_of_interest,establishment",16,2.9,-6.937205499999999,107.5959005,"-6.9372055,107.5959005"
120,Pos Polisi Pasar Baru,ChIJl9N-WzvmaC4R5GE-dz1iL4g,"Jl. Otto Iskandar Dinata No.67, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40181, Indonesia","police,point_of_interest,establishment",2,3.5,-6.917177799999999,107.6044579,"-6.9171778,107.6044579"
121,Polsek Buah Batu,ChIJ47fHOynoaC4R-aD7FNOXalo,"Jl. Ciwastra No.38, Margasari, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","police,point_of_interest,establishment",6,2.8,-6.960922999999999,107.6659248,"-6.960923,107.6659248"
122,Asrama Polisi Polwiltabes,ChIJ-TRHOTHmaC4RyuAz-Cugi4g,"Jl. Sumatera No.44, Merdeka, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40113, Indonesia","police,point_of_interest,establishment",1,2.0,-6.9135263,107.6138412,"-6.9135263,107.6138412"
123,Pos Polisi,ChIJ9UVfTMDnaC4RoIlVWvqfP_U,"JL. Jenderal Ahmad Yani , Cicadas 40124 , Bandung , West Jawa, Cikutra, Cibeunying Kidul, Bandung City, West Java 40124, Indonesia","police,point_of_interest,establishment",14,2.8,-6.90875,107.6431659,"-6.90875,107.6431659"
124,Posgatur Kebonjati Polsek Andir,ChIJnf-tez3maC4RS1CXcSo_P7Q,"Jl. Kebon Jati No.108, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40181, Indonesia","police,point_of_interest,establishment",4,3.5,-6.915957499999999,107.5983854,"-6.9159575,107.5983854"
125,Pos Polisi Sukajadi,ChIJMXQY1WnmaC4RRcCFqHV69h0,"3HXX+R3G, JL. Pasteur , Sukabungah , Sukajadi , Kota Bandung , Jawa Barat, Pasirkaliki, Cicendo, Bandung City, West Java 40163, Indonesia","police,point_of_interest,establishment",2,5.0,-6.900439,107.597712,"-6.900439,107.597712"
126,Polsek Margahayu,ChIJC7l6ECzvaC4RSfkfDtTKUzw,"Jl. Taman Kopo Indah 1 No.20, Margahayu Sel., Kec. Margahayu, Kabupaten Bandung, Jawa Barat 40218, Indonesia","police,point_of_interest,establishment",50,4.2,-6.965383200000001,107.5693952,"-6.9653832,107.5693952"
127,Polwiltabes Bandung,ChIJLbloI-PnaC4R0wIYqpCLckc,"Jl. Merdeka No.20, Babakan Ciamis, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40243, Indonesia","police,point_of_interest,establishment",26,4.6,-6.9140241,107.6107947,"-6.9140241,107.6107947"
128,Pos Polisi Margahayu Barat,ChIJIUxggyLoaC4R7VjbK0CR_BY,"Jl. Jupiter Barat No.11, Sekejati, Kec. Buahbatu, Kota Bandung, Jawa Barat 40286, Indonesia","police,point_of_interest,establishment",5,4.2,-6.946746999999999,107.6595094,"-6.946747,107.6595094"
129,Regol Police Station,ChIJf9W2cvnpaC4R5L3xk4LpvEE,"Jl. Moch. Toha No.81, Cigereleng, Kec. Regol, Kota Bandung, Jawa Barat 40253, Indonesia","local_government_office,point_of_interest,establishment",2,3.5,-6.9397845,107.6069753,"-6.9397845,107.6069753"
130,Markas Polsek Ujung Berung,ChIJg77WXjrdaC4R0pANZXRj-h8,"No. 211 A, 40616, Jl. Alun-Alun Utara, Cigending, Kec. Ujung Berung, Kota Bandung, Jawa Barat 40611, Indonesia","police,point_of_interest,establishment",0,0.0,-6.912771999999999,107.7014382,"-6.912772,107.7014382"
131,Pangakalan Ojol Lapas Banceuy Mitra Kamtibmas Polsek Bojongloa Kidul,ChIJj39eS5XoaC4RP4AyrQj3hdM,"3H2X+9HX, Jl. Mekar Puspita, Kb. Lega, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40236, Indonesia","police,point_of_interest,establishment",1,5.0,-6.9490156,107.5990183,"-6.9490156,107.5990183"
