,name,place_id,formatted_address,types,user_ratings_total,rating,lat,long,latlong
10,BIMC Hospital Nusa Dua,ChIJaStZuCVD0i0Rh4jR5CpDbd4,"Kawasan ITDC Blok D, Jl. Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia","hospital,health,point_of_interest,establishment",382,4.5,-8.799374499999999,115.2284611,"-8.7993745,115.2284611"
11,Rumah Sakit Umum Surya Husadha Nusa Dua,ChIJMWIS3zZD0i0RUfTt1ShndlU,"Jalan Siligita, Jl. Nusa Dua No.14, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia","hospital,health,point_of_interest,establishment",527,3.9,-8.8041585,115.2173765,"-8.8041585,115.2173765"
12,Rumah Sakit Ibu Dan Anak Harapan Bunda,ChIJDRj4JPRA0i0RRB4U34Kxj6M,"Tukad Unda St No.1, Sumerta Kelod, East Denpasar, Denpasar City, Bali 80234, Indonesia","hospital,health,point_of_interest,establishment",85,3.7,-8.673661,115.2324078,"-8.673661,115.2324078"
13,Surya Husadha General Hospital,ChIJMZ-2XDA_0i0RxfHyeBf9D8o,"Cokroaminoto St No.356, Ubung Kaja, Denpasar Utara, Denpasar City, Bali 80116, Indonesia","hospital,doctor,health,point_of_interest,establishment",178,3.5,-8.622876,115.1991477,"-8.622876,115.1991477"
14,BIMC Hospital,ChIJQwjqQLJG0i0RLZEEjSM51iQ,"Jl. Bypass Ngurah Rai No.100X, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","hospital,health,point_of_interest,establishment",1659,4.7,-8.721513999999999,115.1845783,"-8.721514,115.1845783"
15,Hospital Ari Canti,ChIJweux84090i0RNGpygA10KZk,"Jl. Raya Mas, MAS, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","hospital,doctor,health,point_of_interest,establishment",964,4.5,-8.5520584,115.2731543,"-8.5520584,115.2731543"
16,Rumah Sakit Bhayangkara Denpasar,ChIJF-joBJtA0i0RpONkZ3TwfxI,"2F, Jl. Trijata No.32, Sumerta Kelod, Denpasar Utara, Denpasar City, Bali 80233, Indonesia","hospital,health,point_of_interest,establishment",354,4.4,-8.645991800000001,115.2245323,"-8.6459918,115.2245323"
17,Rumah Sakit Kusta Balun,ChIJT8C4wl0_0i0ROccWIpQiYCE,"Jl. Maruti No.10, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80231, Indonesia","hospital,health,point_of_interest,establishment",0,0.0,-8.644376,115.2107671,"-8.644376,115.2107671"
18,Pucuk Permata Hati Mother and Child Hospital,ChIJhX3oXjRH0i0RqGpgH8-vSGE,"Jl. Teuku Umar Barat No.71XX, Padangsambian Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80117, Indonesia","hospital,doctor,health,point_of_interest,establishment",157,3.7,-8.6759811,115.1855884,"-8.6759811,115.1855884"
19,Wangaya Regional General Hospital,ChIJ-2UcDWA_0i0RAxIbhn-nUWk,"Jl. Kartini No.133, Dauh Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80231, Indonesia","hospital,doctor,health,point_of_interest,establishment",639,4.0,-8.6483417,115.212848,"-8.6483417,115.212848"
20,Kertha Usadha Hospital,ChIJ0ZNbE2Wa0S0RaG2AdLLeU2o,"Jl. Cendrawasih No.5 - 7, Kaliuntu, Kec. Buleleng, Kabupaten Buleleng, Bali 81116, Indonesia","hospital,point_of_interest,doctor,health,establishment",426,4.5,-8.110056199999999,115.0858995,"-8.1100562,115.0858995"
21,Kasih Ibu General Hospital,ChIJ8ci7n-pA0i0RIhckQqYNwx4,"Jl. Teuku Umar No.120, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80114, Indonesia","hospital,point_of_interest,health,establishment",687,4.0,-8.6777188,115.2054497,"-8.6777188,115.2054497"
22,Kasih Ibu General Hospital Kedonganan,ChIJmcCbFm5E0i0RA3QwoVI5HZE,"No.69 A, Jl. Raya Uluwatu, Kedonganan, Kec. Kuta Sel., Bali, 80361, Indonesia","hospital,point_of_interest,doctor,health,establishment",398,4.3,-8.760138,115.175943,"-8.760138,115.175943"
23,RSK Bedah dan Penyakit Dalam BIMC,ChIJOzYnacRA0i0R2Haw1io3n-k,"86C4+W54, Dauh Puri Kauh, Kuta, Badung Regency, Bali, Indonesia","hospital,point_of_interest,health,establishment",0,0.0,-8.6777342,115.2054675,"-8.6777342,115.2054675"
24,Manuaba Hospital,ChIJyVs839E_0i0R8sE-ebtp7xw,"Cokroaminoto St No.28, Pemecutan Kaja, Denpasar Utara, Denpasar City, Bali 80116, Indonesia","hospital,point_of_interest,health,establishment",66,3.8,-8.644085100000002,115.2095007,"-8.6440851,115.2095007"
25,Rumah Sakit Garbamed (Garbamed Hospital),ChIJL7dvQLs40i0RJlpnUg4x_OU,"Jl. Raya Kerobokan No.53, Lingkungan Jambe, Kerobokan Kaja, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia","hospital,point_of_interest,health,establishment",354,3.7,-8.6419526,115.1725212,"-8.6419526,115.1725212"
26,Rumah Sakit Umum Puri Raharja,ChIJ5fpBb2RB0i0Ruude0xno-y0,"Jl. WR Supratman No.14 - 19, Sumerta, Kec. Denpasar Tim., Kota Denpasar, Bali 80233, Indonesia","hospital,point_of_interest,health,establishment",213,4.0,-8.6495713,115.2263812,"-8.6495713,115.2263812"
27,RSU BaliMed State,ChIJ_____3hi0S0RaV2uHHJ5BGI,"Jl. Hayam Wuruk No.23, Kel, Dangin Tukadaya, Kec. Jembrana, Kabupaten Jembrana, Bali 82218, Indonesia","hospital,point_of_interest,health,establishment",279,4.6,-8.3609528,114.6458227,"-8.3609528,114.6458227"
28,Rumah Sakit Ibu dan Anak Puri Bunda Denpasar,ChIJr2wmkmg_0i0RYTXJ0zftBkA,"Jl. Gatot Subroto VI No.19, Dauh Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80233, Indonesia","hospital,point_of_interest,doctor,health,establishment",1019,4.5,-8.638843999999999,115.2165767,"-8.638844,115.2165767"
29,RSU Famili Husada,ChIJBxvuLIsW0i0R7uNF7w3l8no,"Jl. Astina Timur No.8A, Samplangan, Kec. Gianyar, Kabupaten Gianyar, Bali 80512, Indonesia","hospital,point_of_interest,health,establishment",291,4.3,-8.540653299999999,115.3346489,"-8.5406533,115.3346489"
30,Rumah sakit,ChIJtdMYv3Q_0i0RmIFrQO-V69A,"Jl. WR Supratman No.256, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia","hospital,point_of_interest,health,establishment",0,0.0,-8.642078999999999,115.2516766,"-8.642079,115.2516766"
31,RS BaliMed Buleleng,ChIJk260Y3ma0S0Ra-qJy-Wsao4,"Jl. Gn. Lempuyang No.9X, Banjar Tegal, Kec. Buleleng, Kabupaten Buleleng, Bali 81119, Indonesia","hospital,point_of_interest,health,establishment",207,4.0,-8.1273845,115.0885667,"-8.1273845,115.0885667"
32,Wing Amertha RS Sanglah,ChIJsTKWBsJA0i0R37omNgUGpfw,"Parking lot, Jl.Kesehatan No.1, Dauh Puri Klod, Denpasar Barat, Denpasar City, Bali 80114, Indonesia","hospital,point_of_interest,health,establishment",31,3.8,-8.675981499999999,115.2123685,"-8.6759815,115.2123685"
33,RS Dam XVI Denpasar,ChIJc4wRwZY70i0RO3sdvziX848,"Jalan I Gusti Ngurah Rai, No. 70, Singaraja, Mengwi, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia","hospital,point_of_interest,health,establishment",0,0.0,-8.545581,115.169886,"-8.545581,115.169886"
34,Murni Teguh Hospital Tuban Bali,ChIJt2W_MtJF0i0RURAVGtql15w,"Jl. Raya Tuban No.1A/45, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia","hospital,point_of_interest,health,establishment",462,4.7,-8.737361,115.1782796,"-8.737361,115.1782796"
35,RS Rumah Bunda,ChIJ6c9AeGY70i0RPC1-kYhJ-5M,"C5Q7+P8Q, Jl. Terminal, Mengwitani, Kec. Mengwi, Kabupaten Badung, Bali 83051, Indonesia","hospital,point_of_interest,health,establishment",0,0.0,-8.560657599999999,115.1633686,"-8.5606576,115.1633686"
36,Kasih Ibu General Hospital Saba,ChIJnTwFgQkV0i0RertpUn4hPiQ,"Jl. Pantai Saba No.9, Saba, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581, Indonesia","hospital,point_of_interest,health,establishment",253,4.0,-8.605141,115.313481,"-8.605141,115.313481"
37,Premagana General Hospital,ChIJVwCG19Q_0i0R3HcFb1Vcp1E,"Jl. Hyang Sangsi Jl. Raya Banjar Tubuh No.2, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80582, Indonesia","hospital,point_of_interest,health,establishment",111,3.3,-8.6150419,115.2579439,"-8.6150419,115.2579439"
38,Parama Sidhi General Hospital,ChIJ99Mmzmma0S0RDpqZb0DyOXs,"Jl. A. Yani No.171, Baktiseraga, Kec. Buleleng, Kabupaten Buleleng, Bali 81116, Indonesia","hospital,point_of_interest,health,establishment",281,4.3,-8.1224546,115.0710934,"-8.1224546,115.0710934"
39,RS Graha Husada,ChIJRYbcrV0_0i0R28n1Mj2kQ1g,"Cokroaminoto St No.30, Pemecutan Kaja, Denpasar Utara, Denpasar City, Bali 80231, Indonesia","hospital,point_of_interest,health,establishment",0,0.0,-8.6433391,115.2100004,"-8.6433391,115.2100004"
40,Rumah Sakit Ibu dan Anak Puri Bunda,ChIJW_w3I_RA0i0Rt561ubTdmqM,"Jl. Gatot Subroto VI No.19, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80233, Indonesia","hospital,point_of_interest,health,establishment",0,0.0,-8.673549999999999,115.232172,"-8.67355,115.232172"
41,RSU Dharma Yadnya,ChIJwc8M144_0i0RRPFankuYfzU,"Tohpati, Tim, Jl. WR Supratman No.256, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia","hospital,point_of_interest,health,establishment",130,3.0,-8.6424256,115.2516111,"-8.6424256,115.2516111"
42,R S Bangli Medika Canti,ChIJPbbJqt8Z0i0RN6of7eO52Vs,"JL. L.C. Subak Aya, Kawan, Kec. Bangli, Kabupaten Bangli, Bali 80661, Indonesia","hospital,doctor,point_of_interest,health,establishment",104,3.5,-8.4658059,115.3514038,"-8.4658059,115.3514038"
43,RS BaliMed Karangasem,ChIJCz3NbBQG0i0RfBUEGZasUHA,"Jl. Nenas, Kecicang, Kec. Bebandem, Kabupaten Karangasem, Bali 80811, Indonesia","hospital,doctor,point_of_interest,health,establishment",95,3.6,-8.4453905,115.5855915,"-8.4453905,115.5855915"
44,Rumah Sakit Mata Ramata,ChIJ8xm4NZQ50i0R4QXigj5MKNE,"Jl. Gatot Subroto Barat No.429, Padangsambian Kaja, Kec. Denpasar Bar., Kota Denpasar, Bali 80117, Indonesia","hospital,point_of_interest,health,establishment",156,4.3,-8.636843899999999,115.1875228,"-8.6368439,115.1875228"
45,RS Kusta Balun,ChIJRXWzGKRA0i0R-l2hkvA__E0,"Jl. Maruti No.10, Pemecutan, Kec. Denpasar Bar., Kota Denpasar, Bali 80111, Indonesia","hospital,point_of_interest,health,establishment",0,0.0,-8.656124,115.205283,"-8.656124,115.205283"
46,PAYANGAN HOSPITAL (RUMAH SAKIT UMUM PAYANGAN),ChIJBWn79Ywj0i0R_7_6j2_px24,"Jl. Raya Payangan, Melinggih, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia","hospital,point_of_interest,health,establishment",79,3.9,-8.4220156,115.2455913,"-8.4220156,115.2455913"
47,Ruang Nakula RSJ Provinsi Bali,ChIJPzjFQWgZ0i0RsoGk6QLBh28,"G9V2+HF2, Unnamed Road, Kawan, Bangli, Bangli Regency, Bali 80661, Indonesia","hospital,point_of_interest,health,establishment",0,0.0,-8.4561157,115.3511446,"-8.4561157,115.3511446"
48,RSU Bhakti Rahayu Denpasar,ChIJRXWzGKRA0i0RcU6SP6S6_W4,"Jl. Gatot Subroto II No.11, Dangin Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80234, Indonesia","hospital,point_of_interest,health,establishment",739,4.2,-8.6370905,115.2209371,"-8.6370905,115.2209371"
49,Ganesha General Hospital,ChIJe4vSJTQ-0i0R1rhaQOoKlG4,"Jalan Raya Celuk Sukawati, Batubulan, Gianyar, Kabupaten Gianyar, Bali 80582, Indonesia","hospital,point_of_interest,health,establishment",317,4.0,-8.6015376,115.2638514,"-8.6015376,115.2638514"
50,RSU Bali Holistik,ChIJbeJc_2070i0Rszk1Yq3nvUQ,"Desa Belayu, Jalan Raya Umabian, Kecamatan Marga, Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 80351, Indonesia","hospital,point_of_interest,health,establishment",25,4.7,-8.5214351,115.1707078,"-8.5214351,115.1707078"
51,Rumah Sakit Windu Husada,ChIJbd2bNDQ80i0Ra8be9fCXvkg,"Jl. Raya Mambal No.17, Mekar Bhuwana, Kec. Abiansemal, Kabupaten Badung, Bali 80352, Indonesia","hospital,point_of_interest,health,establishment",44,4.4,-8.550489899999999,115.2314986,"-8.5504899,115.2314986"
52,Rumah sakit budi agung,ChIJC9zFSuc_0i0RN8wCG33vW0E,"Jl. Patimura, Dangin Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali, Indonesia","hospital,point_of_interest,health,establishment",0,0.0,-8.649189999999999,115.2202583,"-8.64919,115.2202583"
53,Rumah Sakit Umum Semara Ratih,ChIJuQveeDEh0i0RuAkh10RSv08,"Jl. Raya Denpasar Singaraja Desa Luwus Baturiti, Mekarsari, Kabupaten Tabanan, Bali 82191, Indonesia","hospital,point_of_interest,health,establishment",135,4.4,-8.3815737,115.195506,"-8.3815737,115.195506"
54,General Hospital Wisma Prashanti,ChIJGS2DH2Q60i0RoAEoZjNTymk,"Jl. Yeh Gangga I No.9, Gubug, Kec. Tabanan, Kabupaten Tabanan, Bali 82113, Indonesia","hospital,doctor,point_of_interest,health,establishment",122,2.9,-8.5421851,115.1117891,"-8.5421851,115.1117891"
55,Rs Sanlah,ChIJKc9CnV1B0i0R8eME4ZmPfxk,"9628+2J5, Dangin Puri Kauh, Denpasar Utara, Denpasar City, Bali 80233, Indonesia","hospital,point_of_interest,health,establishment",2,5.0,-8.6499945,115.2166165,"-8.6499945,115.2166165"
56,Rumah Sakit Kertha Usada II,ChIJQ8kDUw1H0i0RufNo-yCIsLg,"Jl. Cendrawasih No.5, Kerobokan Kelod, Singaraja, Kabupaten Buleleng, Bali 80361, Indonesia","hospital,point_of_interest,health,establishment",0,0.0,-8.6747859,115.1528,"-8.6747859,115.1528"
57,Badan Pelayanan Khusus Rumah Sakit Indera Masyarakat,ChIJsxuzxl0_0i0R4IKUhTeSua0,"Jl. Maruti No.10, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80111, Indonesia","hospital,point_of_interest,health,establishment",8,4.1,-8.644376,115.2107671,"-8.644376,115.2107671"
58,RSGM Universitas Mahasaraswati,ChIJ3ZMTnjJB0i0R3irj05sEF5M,"Jl. Kamboja No.11A, Dangin Puri Kangin, Kec. Denpasar Utara, Kota Denpasar, Bali 80233, Indonesia","hospital,point_of_interest,health,establishment",173,4.9,-8.6525566,115.2246485,"-8.6525566,115.2246485"
59,Ruang Bhisma RSJ Provinsi Bali,ChIJe3pJ_BYZ0i0Ry8VyUGePOIw,"G9V2+H6G, Unnamed Road, Kawan, Bangli, Bangli Regency, Bali 80661, Indonesia","hospital,point_of_interest,health,establishment",0,0.0,-8.4560534,115.3505683,"-8.4560534,115.3505683"
60,Rumah Sakit Mata Bali Mandara,ChIJs5pg15xA0i0RUbUqSsL2dfk,"Jl. Angsoka No.8, Dangin Puri Kangin, Kec. Denpasar Utara, Kota Denpasar, Bali 80236, Indonesia","hospital,doctor,point_of_interest,health,establishment",315,4.5,-8.652282,115.2237969,"-8.652282,115.2237969"
61,Rumah Sakit Jiwa Bina Atma,ChIJ99SCGzg_0i0R5Pfrqy9lxl8,"256 Km, Jl. Cokroaminoto No.5, Bali 80111, Indonesia","hospital,health,point_of_interest,establishment",0,0.0,-8.629999999999999,115.201189,"-8.63,115.201189"
62,Rumah Sakit Mangusada Badung,ChIJBxGBuf070i0RGRWxy6hfHKg,"Jalan Raya Kapal, Mangupura, Mengwi, Kapal, Kec. Mengwi, Kabupaten Badung, Bali 80351, Indonesia","hospital,doctor,health,point_of_interest,establishment",379,3.4,-8.578659799999999,115.1829684,"-8.5786598,115.1829684"
63,Dharma Kerti General Hospital,ChIJhSn73x4u0i0RVqFYrhLUlOo,"Jl. Teratai No.16, Dauh Peken, Kec. Tabanan, Kabupaten Tabanan, Bali 82113, Indonesia","hospital,doctor,health,point_of_interest,establishment",88,4.3,-8.539451,115.1189389,"-8.539451,115.1189389"
64,Rumah Sakit Pratama Kubu,ChIJwWoPWHrw0S0RPtUjmCm2AZQ,"Dusun Labuan Sari, Tianyar Bar., Kec. Kubu, Kabupaten Karangasem, Bali 80853, Indonesia","hospital,health,point_of_interest,establishment",6,3.3,-8.1817558,115.4645835,"-8.1817558,115.4645835"
65,Rumah Sakit Umum Premagana,ChIJja8jlHkV0i0R5uA0OXg8D8s,"97RV+PGV, Sukawati, More, Bali, Indonesia","hospital,health,point_of_interest,establishment",0,0.0,-8.608127999999999,115.293792,"-8.608128,115.293792"
66,Bandung City Regional General Hospital,ChIJF4YC5zTdaC4RqyBWcV_dODI,"Jl. Rumah Sakit No.22, Pakemitan, Kec. Cinambo, Kota Bandung, Jawa Barat 45474, Indonesia","dentist,hospital,point_of_interest,health,establishment",440,3.0,-6.9156688,107.698854,"-6.9156688,107.698854"
67,Muhammadiyah Hospital Bandung,ChIJY1h6233oaC4RKpNpFeR-zBc,"Jl. K.H. Ahmad Dahlan No.53, Turangga, Kec. Lengkong, Kota Bandung, Jawa Barat 40264, Indonesia","hospital,doctor,point_of_interest,health,establishment",759,2.9,-6.9335792,107.6231599,"-6.9335792,107.6231599"
68,Bandung Advent Hospital,ChIJb-auU1nmaC4RCyPrneTV6W4,"Jl. Cihampelas No.161, Cipaganti, Kecamatan Coblong, Kota Bandung, Jawa Barat 40131, Indonesia","hospital,doctor,point_of_interest,health,establishment",753,4.0,-6.892076599999999,107.6032797,"-6.8920766,107.6032797"
69,Rumah Sakit Ibu dan Anak Limijati,ChIJ6ZQ8xEnmaC4RtLvEb0GdDcA,"Jalan, LLRE Martadinata St No.39, Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia","hospital,doctor,point_of_interest,health,establishment",577,3.6,-6.9061834,107.6137002,"-6.9061834,107.6137002"
70,Rumah Sakit Rajawali,ChIJjbRDxOHlaC4RC-LoV7W3cj8,"Jl. Rajawali Barat No.38, Maleber, Kec. Andir, Kota Bandung, Jawa Barat 40184, Indonesia","dentist,hospital,point_of_interest,health,establishment",332,3.0,-6.9123965,107.5734226,"-6.9123965,107.5734226"
71,Al Islam Hospital,ChIJg4U_eafCaC4RtJL_OrczonU,"Jl. Soekarno Hatta No.644, Manjahlega, Kec. Rancasari, Kota Bandung, Jawa Barat 40286, Indonesia","hospital,point_of_interest,health,establishment",1436,4.2,-6.9390073,107.6691759,"-6.9390073,107.6691759"
72,Santosa Hospital Bandung Central,ChIJN_fC0BfmaC4Ru35um3UkEUM,"Jl. Kebon Jati No.38, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40181, Indonesia","dentist,hospital,point_of_interest,health,establishment",2211,3.8,-6.9154958,107.600376,"-6.9154958,107.600376"
73,Immanuel Hospital Bandung,ChIJ67iOZzrmaC4RHUTJZgyF108,"Jl. Raya Kopo No.161, Situsaeur, Kec. Bojongloa Kidul, Kota Bandung, Jawa Barat 40233, Indonesia","dentist,hospital,point_of_interest,health,establishment",1071,4.0,-6.935990599999999,107.5965182,"-6.9359906,107.5965182"
74,RS Unggul Karsa Medika,ChIJmWUO6R_vaC4REVS7Id74X5Y,"Taman Kopo Indah III Blok H-1, 40218, Mekar Rahayu, Kec. Margaasih, Kabupaten Bandung, Jawa Barat 40218, Indonesia","hospital,dentist,doctor,point_of_interest,health,establishment",585,4.1,-6.970310800000001,107.5491866,"-6.9703108,107.5491866"
75,Dr. Hasan Sadikin Central General Hospital,ChIJWTAYp0LmaC4R5WtgJNL_etA,"Jl. Pasteur No.38, Pasteur, Kec. Sukajadi, Kota Bandung, Jawa Barat 40161, Indonesia","hospital,doctor,point_of_interest,health,establishment",1810,3.0,-6.8981588,107.5983954,"-6.8981588,107.5983954"
76,Special Hospital Maternal and Child,ChIJ74yBzZ_oaC4RxEJ1ORRVmuE,"Jl. Astana Anyar No.224, Nyengseret, Kec. Astanaanyar, Kota Bandung, Jawa Barat 40242, Indonesia","hospital,point_of_interest,health,establishment",247,3.5,-6.9292824,107.600473,"-6.9292824,107.600473"
77,Rumah Sakit Umum Bungsu,ChIJe3de6C3maC4RG5EQreD2Gks,"Jl. Veteran No.6, Kb. Pisang, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40112, Indonesia","hospital,point_of_interest,health,establishment",153,3.7,-6.9185474,107.6133476,"-6.9185474,107.6133476"
78,RSIA Melinda,ChIJjwWot0DmaC4RrOe4Y3UOlz4,"Jl. Pajajaran No.46, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia","hospital,point_of_interest,health,establishment",206,3.9,-6.9067915,107.6032684,"-6.9067915,107.6032684"
79,RSIA Grha Bunda,ChIJ34uCIcH2aS4RniOvWHrTf_A,"Jl. Terusan Jakarta No.15 - 17, Babakan Surabaya, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40281, Indonesia","hospital,doctor,point_of_interest,health,establishment",562,4.0,-6.9132346,107.6456023,"-6.9132346,107.6456023"
80,Rumah Sakit Santo Yusup,ChIJO6Geb8DnaC4R0Jaq3Whs8Aw,"Jl. Cikutra No.7, Cikutra, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40124, Indonesia","dentist,hospital,point_of_interest,health,establishment",833,3.4,-6.9066719,107.6430629,"-6.9066719,107.6430629"
81,Santo Borromeus Hospital,ChIJU8k7DlHmaC4RQ2mUo1ERm1k,"Jl. Ir. H. Juanda No.100, Lebakgede, Kecamatan Coblong, Kota Bandung, Jawa Barat 40132, Indonesia","hospital,point_of_interest,health,establishment",1389,3.8,-6.893995500000001,107.6136797,"-6.8939955,107.6136797"
82,RS Sariningsih Martadinata,ChIJHaeYXQjnaC4RE3xFVajIIac,"LLRE Martadinata St No.9, Citarum, Bandung Wetan, Bandung City, West Java 40115, Indonesia","hospital,point_of_interest,health,establishment",229,3.4,-6.9066427,107.6112205,"-6.9066427,107.6112205"
83,Sartika Asih Hospital,ChIJGXjSqfHoaC4R2YRE_C6goZU,"Jl. Moch. Toha No.369, Ciseureuh, Kec. Regol, Kota Bandung, Jawa Barat 40256, Indonesia","hospital,point_of_interest,health,establishment",578,3.7,-6.956532699999999,107.6125792,"-6.9565327,107.6125792"
84,Rumah Sakit Melinda 2,ChIJmfy4JUDmaC4RiwHvdXQl1_4,"Jl. Dr. Cipto No.1, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat 40171, Indonesia","hospital,point_of_interest,health,establishment",1172,4.1,-6.9063167,107.5983705,"-6.9063167,107.5983705"
85,Ruang Fatimah - RS Santo Yusup Bandung,ChIJM3AFyb_naC4RojnP2XrsxJ0,"3JWV+6JC, Jl. Cikutra, Cikutra, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40124, Indonesia","hospital,point_of_interest,health,establishment",1,1.0,-6.9044396,107.6440062,"-6.9044396,107.6440062"
86,Rumah Sakit Umum Pindad Bandung,ChIJ1x3KqtfnaC4RNMKrUEhYTec,"Jl. Gatot Subroto No.517, Sukapura, Kec. Kiaracondong, Kota Bandung, Jawa Barat 40285, Indonesia","dentist,hospital,health,point_of_interest,establishment",478,3.9,-6.940032,107.6462231,"-6.940032,107.6462231"
87,Rumah Sakit Kebon Jati,ChIJU_KZChHmaC4RhL6i89vl5_g,"Jl. Kebon Jati No.152, Kb. Jeruk, Kec. Andir, Kota Bandung, Jawa Barat 40182, Indonesia","doctor,hospital,health,point_of_interest,establishment",446,2.3,-6.9161037,107.5963194,"-6.9161037,107.5963194"
88,Hermina Hospital Pasteur,ChIJd9Lo22XmaC4R1JL-X9GTkW0,"Jl. Dr. Djunjunan No.107, Pasteur, Kec. Cicendo, Kota Bandung, Jawa Barat 40173, Indonesia","hospital,health,point_of_interest,establishment",3059,4.5,-6.8958508,107.5888307,"-6.8958508,107.5888307"
