,place_id,place_name,reviewer_name,reviewer_rating,reviewer_review
24,ChIJ8yJa_OMXei4Ri0duyVd8hgc,Babi Guling Bli Kadek,Nathan Anugerah Setiawan,5,The most delicious pig cuisine I have tasted in Solo. The 'Nasi Babi Spesial' (Rice with Complete Pig Sidedish) was so delicious. The flavour was on point and so felt legit. The 'Babi Suwir Sambal Matah' or Pig with Hot Sauce was so good. The 'uritan' and 'Kulit'(Pig Skin) were also delicious. This place really served good food and this is so cheap in my opinion. This is so worth it and I will be back for sure. So delicious and budget friendly. One of the Best for me.
25,ChIJ8RN0UaoXei4R9ol439F6Bzo,Kedai Es Dengan Mas Agung Ala Jawa Bali 354,rosita maros,5,"The ice shop with Mas Agung is also a quite legendary shop. At first he opened it at the grave of the hero Kusuma Bakti. Then due to evictions, it was moved to the Pucangsawit Food Court. We can get fresh and delicious ice here."
26,ChIJ8RN0UaoXei4R9ol439F6Bzo,Kedai Es Dengan Mas Agung Ala Jawa Bali 354,kasiyanta deka,5,"The place is in galabo pucangsawit. There are various kinds of food here, especially at night. Because here is the culinary center of eastern Solo.
The Ice Shop with mas Agung used to be on the sidewalk of the Jurug area of ​​the campground, in front of the hero's grave. It was very crowded. After there was a culinary center here, they moved too. Ice Degan is different from the others. It tastes better and fresher. Not expensive."
27,ChIJ8RN0UaoXei4R9ol439F6Bzo,Kedai Es Dengan Mas Agung Ala Jawa Bali 354,Den Bei,4,
28,ChIJ8RN0UaoXei4R9ol439F6Bzo,Kedai Es Dengan Mas Agung Ala Jawa Bali 354,Annisa Nur,3,
29,ChIJ8RN0UaoXei4R9ol439F6Bzo,Kedai Es Dengan Mas Agung Ala Jawa Bali 354,Widdy Irawan,4,
30,ChIJu8q8IUkXei4R8w0GvOF7g8c,WAJAN BUDE,dainita r,5,
31,ChIJNemZW8gVei4R0jDsQohqq8Y,Bali Solo Javanese Resto,Hans Baier,5,"Nice place, very comfortable"
32,ChIJNemZW8gVei4R0jDsQohqq8Y,Bali Solo Javanese Resto,Primanda Dewanti,5,Sip
33,ChIJNemZW8gVei4R0jDsQohqq8Y,Bali Solo Javanese Resto,Uki H,5,"Nice place,,, delicious food..."
34,ChIJNemZW8gVei4R0jDsQohqq8Y,Bali Solo Javanese Resto,Danik Wardani,4,"Nice place,  good food,"
35,ChIJNemZW8gVei4R0jDsQohqq8Y,Bali Solo Javanese Resto,Andik Harjono,5,Cozy place for family
36,ChIJwf1_djAXei4Rt6dHPasY3NQ,Bakmi Jowo Mbak Bali,Arnis Purnama,1,"Order mawut fried rice, right when the gas is cooking, the food is not cooked perfectly and the vegetables are still raw, they are still sold without any apology for the iced tea, only iced water is added and no ice cubes. It's really bad to sell looking for blessings instead of doing it like this"
37,ChIJwf1_djAXei4Rt6dHPasY3NQ,Bakmi Jowo Mbak Bali,eko tsilo,5,"The food is delicious..the seller is friendly
Anyway, help"
38,ChIJ9_hPG_MWei4RWlaGt44XbLc,Merthasari Babi Guling,liliann tan,4,"the rice mixed with Balinese pork is delicious, the place is clean too, it's a shame the service is long"
39,ChIJ9_hPG_MWei4RWlaGt44XbLc,Merthasari Babi Guling,Merry Niawati,1,"The fried meatballs don't taste good, they have a lot of flour.
the pork sausage is delicious small portion.
Pork satay, satay lilit is not tasty
Just mix the pork B
It's better to be given an expensive but delicious price, than to be made cheap but not delicious and small portions."
40,ChIJ9_hPG_MWei4RWlaGt44XbLc,Merthasari Babi Guling,Yemima H S,4,"Salted Vegetables
Grabyas
Soy sauce pork sausage
Pork satay
Pork Meatballs

All delicious
Most recommended "" Nasi Campur ""

It's delicious to order dl. Let's not wait too long ☺️"
41,ChIJ9_hPG_MWei4RWlaGt44XbLc,Merthasari Babi Guling,robert samuel,3,"Very salty. The lawar vegetables are often cold like rujak out of the fridge. The meat is sometimes tough. Several times eating there the taste is not consistent, it's not as good as the first time trying there last year. The food took a long time to wait because there was only one employee."
42,ChIJ9_hPG_MWei4RWlaGt44XbLc,Merthasari Babi Guling,Andi semir,5,merthasari tmpatnya di jlan irian no 38 ( bnyak pilihan menuu ) klo lgi males kluar order aja viia gofood di anter smpee depan rumah ckckckckckckcckkkckcckkcckckk ckckckckckckckckckckcckckckckck cckkcckkckckcckckckkckckck cckckckckkcckkcckckcckckckck ckckckckcckkckckckcckcckck cckckckckkcckkcckkckckckckckckc ckckckckckckckckckckkckck ckcckckkcckckckckkckcckckckck ckckckckckcckckkckckckckck cckckkckckcckkckckckckckckckcck ckckckckckckckckcckckckckck ckckckckckckckckckckckkckck ckckckckckckckckckckckck ckckckckckcckkckckckcckkkckck ckckckcckckckckckckkk ckckckckckckckckckckkcckckcckck ckckcckkcckckckckkcckckkck ckckckcckkcckkcckkcckkcckck ckckckckckckckckckckckckck ckckckckckckckckckckckckckck ckckckckckckckckckckckckckckk ckckckckckckckckckckckckk ckckckckckckckckckckckckkk ckcckkckcckkckckckckckckckck
43,ChIJf6nY3CAUei4RkIVfHHbTHZs,Pondok Jowi,Herry Wu,4,"I came here here because of my Friend told me that this place has great taste of Nasi bakar in town(Solo),and you Know what he’s right.i love the nasi bakar otak2 bandeng,i even dont have any idea how did they make it so well,and the taste there’s No doubt about it,fruit cocktails is good too,,i love the ambience as well,so balinese with some good music...you should try genks..!!"
44,ChIJf6nY3CAUei4RkIVfHHbTHZs,Pondok Jowi,Randy Hartono,5,"A different type of serving, is not like 10 years ago..
But still worth to enjoy every menu.. The restaurant is a Bali nuance now and very convenient"
45,ChIJf6nY3CAUei4RkIVfHHbTHZs,Pondok Jowi,Khairul Anwar,5,"When in Solo for a quick visit or business trip, have a chance to try this warung! Their homemade food & drinks are very recommended, so tasty and well-portioned. The venue itself just like a home but with Balinese inspired decor. If you are into spicy food, try their Sambal variants and enjoy the hotness!"
46,ChIJf6nY3CAUei4RkIVfHHbTHZs,Pondok Jowi,hendro mulyo,4,No issues with taste or price. The slight problem is portion. Too little for the rice portion. I ordered nasi bakar bebek. The taste is good. But bebek meat is too hard to chew. Overall is good thou
47,ChIJf6nY3CAUei4RkIVfHHbTHZs,Pondok Jowi,ANASTASIA DOROTHEA,5,Love the the warm and calm atmosphere. You can enjoy the sound of the water while enjoying the food. I ate Nasi Bakar with duck and tempeh. It's delicious. A glass of coconut ice completed my lunch. Will come back every time I visit Solo.
48,ChIJU_2akZsXei4RMCls8gaimiU,Dapur Nyonyah Besar Solo,ADIAX,5,yaa the best nasi jinggo in town. for those who long to return
49,ChIJs-g2Gb4Wei4RMtUHghAQkaA,Angkringan Omahe Whawin,BLESSING INDONESIA,5,"So beautifully designed. Bali inspired nuances. So green n relaxing atmosphere.
And the owner whawin Laura is so hilarious funny n amazing
Thx U whawin for entertaining all of us.
Keep blessed n happy n healthy always"
50,ChIJs-g2Gb4Wei4RMtUHghAQkaA,Angkringan Omahe Whawin,Raymond Valiant,3,"Ethnic style restaurant. A lot of furniture, with a balinese-touch. Half outdoor, with some indoor seatings. Except for the mosquitos, the ambience is fine."
51,ChIJs-g2Gb4Wei4RMtUHghAQkaA,Angkringan Omahe Whawin,Herry Wu,4,"This “angkringan” is really cool,,located in solo and they’re using Balinese concept it’s just awesome,so many statues,puppets,paintings and there’s a huge Buddha statue as well.
I love the ambience,so calm,as long as you didn’t come during weekend the place isn’t so crowded,,so better you come during weekday to enjoy your dinner here,,the food’s pricelist is so affordable.and they play some Balinese instruments during the night,,you should try someday ...👍🏻"
52,ChIJs-g2Gb4Wei4RMtUHghAQkaA,Angkringan Omahe Whawin,septian Maulid W,5,"Omahe Wawin has chill vibe in it, makes everything taste good. It's really good place for dinner with your loved one or with your family."
53,ChIJs-g2Gb4Wei4RMtUHghAQkaA,Angkringan Omahe Whawin,muhammad iqbal,4,Some local cafe (angkringan) with baliness style in Solo. A quite good taste with not so expensive price. So cozy and comfortable to hang out and spend times with your colleagues.
54,ChIJW7F1GFcWei4RWU6mvytkqYg,"Babi Kuah Rica Babi ""Mbak Indri""",Rosita Ayuningtyas,1,
55,ChIJW7F1GFcWei4RWU6mvytkqYg,"Babi Kuah Rica Babi ""Mbak Indri""",Esti Woro,3,
56,ChIJfa0K0GQWei4R5r8Imyp2ko8,Angkringan Om Dims,Cinus Ruju Yoga Sasangka,5,Anchovy sauce rice + Balinese seasoning egg tastes top markotop! Friendly service... Free WiFi... Great for hanging out with young people...
57,ChIJfa0K0GQWei4R5r8Imyp2ko8,Angkringan Om Dims,Allan Bagus Prakoso,5,angkringan that can be made to play this new ps wkwkwkwk :v hang out until satisfied...
58,ChIJfa0K0GQWei4R5r8Imyp2ko8,Angkringan Om Dims,Shevdodo Sastro Sudiro (Shevdodo),5,Low Prices...Friendly Service...Comfortable place...and the most typical of Sego Teri Sambel / Nasi Sambal Teri ne Josssssss
59,ChIJfa0K0GQWei4R5r8Imyp2ko8,Angkringan Om Dims,Nurita Permatasari,5,The menu of Banjar dishes is great...the snacks are complete...bakulE is friendly...but can't be billed...aka not owed...
60,ChIJfa0K0GQWei4R5r8Imyp2ko8,Angkringan Om Dims,Jasmine Story,5,"Delicious drinks, busy hanging out and chatting..cheap food tastes good, you can take your own side dishes..pokwe"
61,ChIJI2U9sBgXei4RBplRTLe7ikA,Alamama Resto,Ajeng K Ratri,4,"It's an OK Restaurant. The service was pretty slow, and the food is pretty salty for our liking.
But the mushroom soup is delicious (also a bit salty for our taste bud)

However, this may not always the case for everyone. I can see why families and friends are coming to this place, because it's quite spacious for gatherings too."
62,ChIJI2U9sBgXei4RBplRTLe7ikA,Alamama Resto,amrullah iam,5,"This cozy restaurant has left the best impressions! Hospitable hosts, delicious dishes. Dori dabu-dabu and orange float is the one recommended menus may you can try it. I would like to come back here again."
63,ChIJI2U9sBgXei4RBplRTLe7ikA,Alamama Resto,Janitra Haryanto,5,"Tried two dishes: 1. Grilled Chicken Mushroom & 2. Mushroom Soup.

Both are really nice. The mushroom soup was unexpectedly good. The grilled chicken was nice but I think bigger and thicker cut of chicken and smaller portion of mash potato would be better. Will review more in @wecookweekend on Instagram!"
64,ChIJI2U9sBgXei4RBplRTLe7ikA,Alamama Resto,John Does,3,"Nice place, mediocre food. I ordered grilled rosemary chicken. The part of chicken they used was the breast, instead of thigh. That's why it was dry and tough. The mashed potato was great, it was so smooth, creamy, and buttery. The place has a nice vibe, but it can get quite loud which I can't appreciate."
65,ChIJI2U9sBgXei4RBplRTLe7ikA,Alamama Resto,Haotian Tong,5,Very chic restaurant with western and Indonesian selections. Good service. Enjoyed my crispy wagyu and smoothie. Fair price. Worth a visit.
66,ChIJS2qDAWAWei4RrIwm66MMTLY,Kedai Babi Ming,Santoso Istono,5,Very nice pork restaurant in Solo... must try
67,ChIJS2qDAWAWei4RrIwm66MMTLY,Kedai Babi Ming,Nguyen Steve,5,"Good food with cheap price...
Very recommended..."
68,ChIJS2qDAWAWei4RrIwm66MMTLY,Kedai Babi Ming,Sigita Yudi,5,"Delicious and affordable. Often stop by if passing through the city of solo. But unfortunately it's not registered on gofood or grabfood. If you are registered, you will definitely buy it more often."
69,ChIJS2qDAWAWei4RrIwm66MMTLY,Kedai Babi Ming,Tonny Leonard,4,"The pork satay is delicious, the salty vegetable soup is good, the pork loo is also delicious and sweet (suitable for children)"
70,ChIJS2qDAWAWei4RrIwm66MMTLY,Kedai Babi Ming,alex hoong,5,"For culinary fans of pork satay, this is perfect. It feels great"
71,ChIJx6BJIcZG0i0REuLK4Co7HUI,Un's Restaurant - Bali,Cale Shipman,5,"Best meal I’ve every had in Bali. Free margarita’s and garlic bread as soon as you walk through the door. The atmosphere was amazing and facilities clean and well kept. The service at Un’s was amazing, all the members of staff were quick, efficient and so kind. Now the best part was the food, the garlic bread was crunchy and delicious as well as the spring rolls. Both steaks were cooked to perfection and were so juicy and tender. The king prawns on the surf and turf were so soft the practically melted in your mouth. A big thank you to Ketut our waiter and all the other staff, we will be back soon."
72,ChIJx6BJIcZG0i0REuLK4Co7HUI,Un's Restaurant - Bali,Mister Ming,5,"Tucked down a laneway, you are greeted prior to entering. Friendly and prompt service. Garlic bread and a small glass of Margherita is served complimentary. Food is tasty and well presented. Would recommend."
73,ChIJx6BJIcZG0i0REuLK4Co7HUI,Un's Restaurant - Bali,steven thompson,5,Amazing restaurant that has opened again. Highly recommend it - located just off Poppy Lane 1 to your right on a small lane that takes you to Jalan Patai Kuta. Speak great English and very helpful. We love the vol au vents-
74,ChIJx6BJIcZG0i0REuLK4Co7HUI,Un's Restaurant - Bali,ina stulen,5,Loved it! 20 years ago I worked on Bali and visited this restaurant regulary as it was my favorite. So nice to see it still has the same atmosphere and same good food.
75,ChIJx6BJIcZG0i0REuLK4Co7HUI,Un's Restaurant - Bali,Liza S,4,"good food, good service. The bruschetta was really nice. You get a complimentary drink and bread. Nice atmosphere"
76,ChIJy0JszGxH0i0RocRhbrUkd1w,Ling-Ling's Bali,veronica m,4,"Nice place and i think they will more fun to visit during dinner time. Our waiter Asih was super helpful. She recommended some dishes that were good. The sweet and sticky chicken is a bit too sweet for my taste. The crispy salad is good, kimchi chip also a nice twist. Tried their cocktail also good. Worth to try."
77,ChIJy0JszGxH0i0RocRhbrUkd1w,Ling-Ling's Bali,Bartosz,5,"Wow, this is the place I would love to have in Warsaw, Poland! We bought four different dishes and EVERYTHING was amazing, seriously, this is the place that you need to visit. I just simply rediscovered asian fusion kitchen. Highly recommended! Assisted by the very helpful Risa (thank you for your help!). All the best guys, if Aussie owner could contact me I would be more than happy! Thank you!"
78,ChIJy0JszGxH0i0RocRhbrUkd1w,Ling-Ling's Bali,Soe Mails,5,"Fantastic vibe. Enjoyed the bingo night. The drag queens were super fun and friendly. The food was good. We got the satay and Japanese pork ribs. The peach tea was also amazing.

Be sure to be seated inside where all the action is! The outside area is kinda sad but is okay. (Didn’t try the sushi so cannot comment on that.)"
79,ChIJy0JszGxH0i0RocRhbrUkd1w,Ling-Ling's Bali,Dani Lehtimäki,5,Food was good. Very good offers many things on the menu 50%off and happy hour for wine and sangria. Specially loved the salmon roll sushi. Staff is polite and they take orders fast and food arrives pretty fast aswell. Nice place to hang around with friends or family.
80,ChIJy0JszGxH0i0RocRhbrUkd1w,Ling-Ling's Bali,Jade McCarthy,5,"Our tour driver told us about Ling Lings as we drove past so that’s where we went for dinner. Amazing!
We were greeted and waited by Tara who was very efficient & friendly.
Was busy however no long wait for drinks or food.
Food was next level with amazing presentation and taste.
Warm fresh Popcorn was served as we were seated.
My husband and I ordered 4 dishes and shared. Lot of food and well priced per dish.
As we were finalizing our bill I was given a long stem rose by Tara. Such a nice touch. Made my night! Will be back again without a doubt!"
81,ChIJvdB3_GpH0i0RlaTq17KvbR0,Barbacoa,Marty C,5,"Updated menu for a Seminyak classic. This has always been a good restaurant, but since reopening their new head chef has really upped the ante and made it exceptional. Tried a number of cocktails all of which were amazing. Everything on the good menu was REALLY good, but the real stand outs were the vegetable sides. The Al Pastor cauliflower was absolutely mind blowing and up there with one of the best dishes I've ever eaten. The carrots as well were incredible. Super friendly and efficient service, despite being their busiest night since reopening. Keep up the good work! Can't wait to come back again."
82,ChIJvdB3_GpH0i0RlaTq17KvbR0,Barbacoa,steven liu,5,I had an unforgettable experience at Barbacoa in 2019 and it is the first restaurant on my list when I returned to Bali after 4 long years. The food was great and wood fired to perfection. I would highly recommend the beef and chicken. The scallop was equally impressive. The grilled pineapple was so good that I ordered a 2nd serving. Overall a lovely experience fueled by excellent food and impeccable services.
83,ChIJvdB3_GpH0i0RlaTq17KvbR0,Barbacoa,Kenneth Tan,3,"We had their bestseller, pork asado and it was nothing to shout about. The pork had a distinct 'porky' taste and it wasn't that great. The veggie dishes were better and we liked the grilled cauliflower. Papuan oysters had some strange toppings that covered the taste of the oysters.

Love the atmosphere but if you are here for the food you'd be disappointed."
84,ChIJvdB3_GpH0i0RlaTq17KvbR0,Barbacoa,Stephanie Rose,4,"Barbacoa is a popular Latin American restaurant with a kitchen fuelled by fire, burning embers, charcoal and smoke. Although the cuisine is quite meat heavy, they also have plenty of vegetarian and vegan options. They have the biggest cocktail list I’ve seen in a while, with every Margarita concoction you can think of. I went with the Lemon Meringue which was a dead ringer for the dessert, meringue and all.

The Rib Fillet Steak with roasted chicken butter was incredible! We did ask for it Medium and received it Rare but it was still delicious. I would also recommend the Mixed Leaf Salad and the Spanish Style Potatoes. The corn was too dry and the Straciatella with tomatoes was OK. The table next to us ordered the  Charcoal Chicken and it smelled so good, we had massive FOMO. Will definitely return here again."
85,ChIJvdB3_GpH0i0RlaTq17KvbR0,Barbacoa,Ying Wah Chan,4,"Decent food and nice setting for a night out. We had a good dinner hangout. Liked it but won't come back. I can't say any dish was outstanding or memorable - one pork dish oddly tasted like chicken even, and desserts were not good. For that price point, there are better restaurants in Bali."
86,ChIJAXhicxJH0i0RLNdqBd88iSk,Bambu Bali - Seminyak,Rei Tan,5,"Amazing place, my favourite restaurant in Bali, one that I make sure to put a reservation in for days before I fly. The ambience is classy and tranquil, and the service staff are friendly and eloquent; we visited with a egregious 9 month old who won't sit still and the wait staff graciously helped to entertain him. The food is delicious, with interesting local spices and elegantly layered. What's more, the prices and portions are reasonable, such that we can order multiple dishes to try. A must visit in Bali for sure."
87,ChIJAXhicxJH0i0RLNdqBd88iSk,Bambu Bali - Seminyak,Eleni Reviews (EleniReviews),5,"We had an amazing fine dining experience here. Our waiter was exceptional and very attentive, the food was so so good and the atmosphere was serene. We enjoyed every single dish we had.

The price is on the high end for Bali standards, but it was well worth it. We would come back here."
88,ChIJAXhicxJH0i0RLNdqBd88iSk,Bambu Bali - Seminyak,Joanne Tan,5,"So glad we chose this place for our last dinner in Bali! Softshell crab was decent as an appetiser, but the Babi Guling and Ikan Masak Di Bukit (barramundi) really stood out. They were well made, the flavours were delicate and they were not too salty or spicy, everything was just nice. We also got Dadar Gulung (Pandan crepes) as dessert to end the night.

Restaurant environment is spacious and comfortable (no bugs!), it’s great for long chats, catch-ups or just a relaxing dinner together. Staff were warm in their greetings and overall service."
89,ChIJAXhicxJH0i0RLNdqBd88iSk,Bambu Bali - Seminyak,上海人,3,"The food is well prepared, but portions are small. What we did not appreciate was that the waiters were constantly on our back to take away the plates as soon as we made a pause and enjoyed the moment; they put lots of pressure on us to speed up our meal and leave the table for the next customers. This has negatively impacted on our mood.  There are many other good restaurants in this area which are much less commercial. I would not recommend"
90,ChIJAXhicxJH0i0RLNdqBd88iSk,Bambu Bali - Seminyak,Christine Andrews,4,"This place looks lovely, but the food is pretty average considering the setting and price.
The service is good, the setting is beautiful, the food is presented nicely. The flavours however aren't anything to write home about. I had the duck and asked for mild spice, my husband had chicken and medium spice. Both were not spicy at all. Don't be afraid to therefore go medium to hot. Same with the rice crackers and condiments. They tell you the spice levels, the red one isn't that hot, and I'm not a big fan of hot spice.
We had a main meal each, one glass of wine, one cocktail, 2 desserts and it cost us around AU$100 / IDR1 million.
We didn't mind the price but we didn't feel the food was worth it. It was a nice experience and I'm glad we went but I won't bother going back."
91,ChIJ74RaGRNH0i0RIJ83QmJQS9M,Kaum Bali,Anna Lynn,5,"One of my favourite Indonesia restaurants in Bali. The restaurant has great vibe and atmosphere. All the dishes are very delicious and nicely presented. The portion is not very big, so you can try more dishes in one go. Cocktails are good as well. Service is quick and staffs are super friendly. This place has both indoor and outdoor dining areas. We had outdoor seats to enjoy beautiful sunset. Will definitely come back again. Highly recommended."
92,ChIJ74RaGRNH0i0RIJ83QmJQS9M,Kaum Bali,Elena Conte,5,"Very good Indonesian food with a modern touch. Prices are high but the taste, service and space are worth it. Only problem for us was the noise of two big groups in the restaurant (about 10+10 people at the same time). Perhaps a separate space could be reserved for big groups, or their table could be arranged outside, to allow other customers to  enjoy the meal. Nonetheless, I would definitely recommend it."
93,ChIJ74RaGRNH0i0RIJ83QmJQS9M,Kaum Bali,Red Barker,4,"I really enjoyed the ambience, decor and menu at Kaum.

Well-trained, great staff. Lovely location overlooking Potato Head and the pool area.

It's very easy to over-order and go a bit crazy, but stick to your guns, start smaller with sharing in mind and keep the dishes coming. Their Fish and Satay are must orders!"
94,ChIJ74RaGRNH0i0RIJ83QmJQS9M,Kaum Bali,Maxine Saw,5,"Beautiful place right by the beach. Delicious food, friendly staff and decent prices! I highly recommend getting the pork satay and the prawn and fish dumplings! The staff were also very sweet and surprised us with a little birthday cake 💜 very wonderful experience here and will definitely be coming back!"
95,ChIJ74RaGRNH0i0RIJ83QmJQS9M,Kaum Bali,Chelsea Rivera,5,"Food was amazing (great presentation and tasted great), the staff was very helpful with picking food that would suite our taste especially since half of us could handle spicy food and the other half couldn’t. Staff was also very friendly and the view was on the balcony was beautiful of the beach and sunset! Food was also good to share amongst a big group to give everyone a chance to try each kind."
96,ChIJceqfUrYj0i0R3AKPH-aEZmM,Warung Umah Bali,Sophie Treloar,5,No review could possibly describe how delicious the food is at Warung Umah. I ate 4 seperate times during my stay close by and every meal was beyond incredible. So fresh and flavoursome. Family owned business. Beautiful garden setting. Very kind staff. My #1 restaurant in Bali :)
97,ChIJceqfUrYj0i0R3AKPH-aEZmM,Warung Umah Bali,Ingrid Putri (Ingrid),5,"Very amazing food, great presentation and friendly staff!! I have been to many restaurants in Bali which serve Balinese dishes but Warung Umah is the best so far! The chef is a Balinese Ibu (local woman) that is why the taste is homey and original. Definitely will come back again xx"
98,ChIJceqfUrYj0i0R3AKPH-aEZmM,Warung Umah Bali,Sergi Mulà,5,"Very nice Balinese warung, the food is amazing and with very good prices. The place is also located in a beautiful garden. All the food is made by the family grandmother, who is an amazing cook. It is worth to get a bit away from the center to find this amazing places run by local families, were the food is much better and the prices too."
99,ChIJceqfUrYj0i0R3AKPH-aEZmM,Warung Umah Bali,Francesco Pallotta,5,"Outstanding local food and dinner experience. High quality ingredients prepared following traditional recipes. Great attention to details. Delicious, beautiful and very fairly priced. The environment is clean, in a beautiful garden surrounded by the rain forest. Don’t miss it!"
100,ChIJceqfUrYj0i0R3AKPH-aEZmM,Warung Umah Bali,Derrick Foo,5,"Amazing food, great price, and warm friendly people. Was a bit surprised I was the only customer tonight, but everything was fresh and delicious. Location is a bit hidden, but it was worth the adventure - a hidden gem in the area. Thank you for such a memorable meal! Hopefully more people return to Bali to try your amazing food showcasing the best this island has to offer."
101,ChIJvcoIMohH0i0RoOUc_GcwCoM,Balagra Resto Bali,Always Very Spicy,4,"A small menu with no pork products but the food was delicious nevertheless.

They are not used to customers during the day but they scrambled to cook the meals and serve our drinks professionally.

The fried chicken as illustrated was ayam kampung, a smaller bantam style hen and it’s very delicious.

The menu was small and the drinks menu much more limited but thankfully when I ordered a plain iced tea (off menu) they were happy to oblige.

Only cash accepted here. The restaurant is on the ground floor of the Atanaya Hotel."
102,ChIJvcoIMohH0i0RoOUc_GcwCoM,Balagra Resto Bali,made cublick,5,"Complete buffet breakfast, I love the taste, all delicious. I paid only 100k, i got all you can eat dan after that free swimming at rooftop pool. Awesome"
103,ChIJvcoIMohH0i0RoOUc_GcwCoM,Balagra Resto Bali,Irene Emmanuelawati,5,"Had an all you can eat breakfast and some a la carte in the evening, where all my food was served warm. The price is really worth it. Balagra is walking distance from Trans Studio Mall (TSM) Bali"
104,ChIJvcoIMohH0i0RoOUc_GcwCoM,Balagra Resto Bali,Maria Stephanie,5,The food was so delicious. The place was comfort for the kids also. They have gppd service. I will back to this resto again if I stay in Bali.
105,ChIJvcoIMohH0i0RoOUc_GcwCoM,Balagra Resto Bali,Sriram Kannan,5,We had Sunny side nasi and lava toast. It was great!
